model;mpg;cyl;disp;hp;wt;am
Mazda RX4;21.0;6;160.0;110;2.62;1
Mazda RX4 Wag;21.0;6;160.0;110;2.875;1
Datsun 710;22.8;4;108.0;93;2.32;1
Hornet 4 Drive;21.4;6;258.0;110;3.215;0
Hornet Sportabout;18.7;8;360.0;175;3.44;0
Valiant;18.1;6;225.0;105;3.46;0
Duster 360;14.3;8;360.0;245;3.57;0
Merc 240D;24.4;4;146.7;62;3.19;0
Merc 230;22.8;4;140.8;95;3.15;0
Merc 280;19.2;6;167.6;123;3.44;0
Merc 280C;17.8;6;167.6;123;3.44;0
Merc 450SE;16.4;8;275.8;180;4.07;0
Merc 450SL;17.3;8;275.8;180;3.73;0
Merc 450SLC;15.2;8;275.8;180;3.78;0
Cadillac Fleetwood;10.4;8;472.0;205;5.25;0
Lincoln Continental;10.4;8;460.0;215;5.424;0
Chrysler Imperial;14.7;8;440.0;230;5.345;0
Fiat 128;32.4;4;78.7;66;2.2;1
Honda Civic;30.4;4;75.7;52;1.615;1
Toyota Corolla;33.9;4;71.1;65;1.835;1
Toyota Corona;21.5;4;120.1;97;2.465;0
Dodge Challenger;15.5;8;318.0;150;3.52;0
AMC Javelin;15.2;8;304.0;150;3.435;0
Camaro Z28;13.3;8;350.0;245;3.84;0
Pontiac Firebird;19.2;8;400.0;175;3.845;0
Fiat X1-9;27.3;4;79.0;66;1.935;1
Porsche 914-2;26.0;4;120.3;91;2.14;1
Lotus Europa;30.4;4;95.1;113;1.513;1
Ford Pantera L;15.8;8;351.0;264;3.17;1
Ferrari Dino;19.7;6;145.0;175;2.77;1
Maserati Bora;15.0;8;301.0;335;3.57;1
Volvo 142E;21.4;4;121.0;109;2.78;1
